customer_segmented
Customer_ID,Age,Gender,Annual_Income,Spending_Score,Purchase_Frequency,Cluster
1,22,Female,25000,85,15,2
2,25,Male,30000,70,12,2
3,28,Female,28000,90,18,2
4,32,Male,45000,60,9,1
5,35,Female,50000,75,14,3
6,40,Male,60000,40,6,1
7,45,Female,75000,80,16,3
8,50,Male,80000,35,5,0
9,23,Female,27000,88,17,2
10,27,Male,35000,65,11,2
11,31,Female,42000,55,8,1
12,36,Male,55000,45,7,1
13,42,Female,70000,78,13,3
14,48,Male,85000,30,4,0
15,52,Female,90000,25,3,0
16,26,Male,32000,72,12,2
17,30,Female,48000,68,10,1
18,38,Male,65000,50,7,1
19,44,Female,78000,82,14,3
20,55,Male,95000,20,2,0
